make,model,year,engine_fuel_type,engine_hp,engine_cylinders,transmission_type,driven_wheels,number_of_doors,market_category,vehicle_size,vehicle_style,highway_mpg,city_mpg,popularity,msrp,price_flag_suspicious,car_age,is_electric
BMW,1 Series M,2011,premium unleaded (required),335.0,6,MANUAL,rear wheel drive,2,"Factory Tuner,Luxury,High-Performance",Compact,Coupe,26.0,19,3916,46135,False,6,False
BMW,1 Series,2011,premium unleaded (required),300.0,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,28.0,19,3916,40650,False,6,False
BMW,1 Series,2011,premium unleaded (required),300.0,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28.0,20,3916,36350,False,6,False
BMW,1 Series,2011,premium unleaded (required),230.0,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,28.0,18,3916,29450,False,6,False
BMW,1 Series,2011,premium unleaded (required),230.0,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28.0,18,3916,34500,False,6,False
BMW,1 Series,2012,premium unleaded (required),230.0,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,28.0,18,3916,31200,False,5,False
BMW,1 Series,2012,premium unleaded (required),300.0,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,26.0,17,3916,44100,False,5,False
BMW,1 Series,2012,premium unleaded (required),300.0,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28.0,20,3916,39300,False,5,False
BMW,1 Series,2012,premium unleaded (required),230.0,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28.0,18,3916,36900,False,5,False
BMW,1 Series,2013,premium unleaded (required),230.0,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,27.0,18,3916,37200,False,4,False
BMW,1 Series,2013,premium unleaded (required),300.0,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28.0,20,3916,39600,False,4,False
BMW,1 Series,2013,premium unleaded (required),230.0,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Coupe,28.0,19,3916,31500,False,4,False
BMW,1 Series,2013,premium unleaded (required),300.0,6,MANUAL,rear wheel drive,2,"Luxury,Performance",Compact,Convertible,28.0,19,3916,44400,False,4,False
BMW,1 Series,2013,premium unleaded (required),230.0,6,MANUAL,rear wheel drive,2,Luxury,Compact,Convertible,28.0,19,3916,37200,False,4,False
BMW,1 Series,2013,premium unleaded (required),320.0,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Convertible,25.0,18,3916,48250,False,4,False
BMW,1 Series,2013,premium unleaded (required),320.0,6,MANUAL,rear wheel drive,2,"Luxury,High-Performance",Compact,Coupe,28.0,20,3916,43550,False,4,False
Audi,100,1992,regular unleaded,172.0,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24.0,17,3105,2000,True,25,False
Audi,100,1992,regular unleaded,172.0,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,20.0,16,3105,2000,True,25,False
Audi,100,1992,regular unleaded,172.0,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21.0,16,3105,2000,True,25,False
Audi,100,1993,regular unleaded,172.0,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,24.0,17,3105,2000,True,24,False
Audi,100,1993,regular unleaded,172.0,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,20.0,16,3105,2000,True,24,False
Audi,100,1993,regular unleaded,172.0,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,21.0,16,3105,2000,True,24,False
Audi,100,1994,regular unleaded,172.0,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Wagon,21.0,16,3105,2000,True,23,False
Audi,100,1994,regular unleaded,172.0,6,MANUAL,all wheel drive,4,Luxury,Midsize,Sedan,22.0,16,3105,2000,True,23,False
Audi,100,1994,regular unleaded,172.0,6,MANUAL,front wheel drive,4,Luxury,Midsize,Sedan,22.0,17,3105,2000,True,23,False
Audi,100,1994,regular unleaded,172.0,6,AUTOMATIC,front wheel drive,4,Luxury,Midsize,Sedan,22.0,16,3105,2000,True,23,False
Audi,100,1994,regular unleaded,172.0,6,AUTOMATIC,all wheel drive,4,Luxury,Midsize,Wagon,21.0,16,3105,2000,True,23,False
FIAT,124 Spider,2017,premium unleaded (recommended),160.0,4,MANUAL,rear wheel drive,2,Performance,Compact,Convertible,35.0,26,819,27495,False,0,False
